Parameter,Crop number and flag for crop type,Crop curve number,Crop curve name,Crop curve type,Flag for means to estimate pl or gu,T30 for pl or gu   or CGDD for pl or gu,Date of pl or gu  (can be blank),For NCGDD based curves: Tbase:,CGDD for EFC,CGDD for termination,NCGDD for development,NCGDD for late season,time for EFC,time for harvest (neg to extend until frost),Time percent to EFC for development,Time percent to EFC for late season
Millet,-68,1,Spring wheat,1,2,21.48,,0,1000,2800,10,160,,,,
Tomatoes,-69,54,Potatoes Processing,1,2,10.5,,5,900,2100,20,110,,165,,
Oranges,70,55,Oranges,3,3,,1,,,,,,1,-100,0,120
Lettuce (Single Crop),-71,56,Lettuce (Single Crop),1,2,11,,0,1000,2300,10,220,,,,
Lettuce First Planting,-72,56,Lettuce First Planting,1,2,10.5,,0,800,1800,10,220,,,,
Lettuce Second Planting,-73,56,Lettuce Second Planting,1,2,27,,0,800,2000,10,220,,,,
Nuts,74,46,Nuts,3,2,11,,,,,,,45,330,20,280
Cranberries,75,49,Cranberries,3,3,0,1,,,,,,60,-100,20,220
Sugarcane,-76,58,Sugarcane,1,2,16,,-10,540,1000,30,130,,,,
Field Corn After Another Crop,-77,8,Field Corn,1,2,19,,-10,540,1400,20,140,,,,
Sorghum After Another Crop,-78,45,Sorghum After Another Crop,3,2,19,,-7,,,,,60,70,20,160
Cotton After Another Crop,-79,43,Cotton After Another Crop,1,2,20,,-12.5,800,1800,30,160,,,,
Cabbage,-80,59,Cabbage,1,2,11,,0,1000,2300,10,220,,,,
Sudan,-81,13,Alfalfa 1st cycle,1,1,300,,0,1860,3010,0,100,,,,
Christmas Trees,82,60,Christmas Trees,3,3,0,1,,,,,,1,-100,0,120
Melons After Another Crop,-83,22,Melons,2,2,27,,,,,,,70,190,10,270
Grain After Another Crop,-84,1,Grain After Another Crop,3,2,27,,-7,,,,,60,90,10,160
Soybeans After Another Crop,-85,52,"Snap Beans, seed",1,2,13,,5,755,1690,0,120,,,,
Grass Pasture (Mid Management),86,61,"Pasture, Mid Manag.",3,2,6.85,,,,,,,50,-220,0,190
"Turfgrass, Warm",87,62,"Turfgrass, Warm",4,2,10.5,,,,,,,60,-270,0,270
"Turfgrass, Cool",88,63,"Turfgrass, Cool",4,2,10.5,,,,,,,60,-270,0,270
"Turfgrass, Intermediate",89,64,"Turfgrass, Cool",4,2,10.5,,,,,,,60,-270,0,270
