fao56_no,Crop,Init. (Lini),Dev. (Ldev),Mid (Lmid),Late (Llate),Total,Plant Date,Region,Type
103,"Apricots, Peaches, Stone Fruit - no ground cover, killing frost",,,,,,,,
104,"Apricots, Peaches, Stone Fruit - no ground cover, no frosts",,,,,,,,
105,"Apricots, Peaches, Stone Fruit - active ground cover, killing frost",30,50,130,30,240,March,"Calif., USA",
106,"Apricots, Peaches, Stone Fruit - active ground cover, no frosts",,,,,,,,
107,"Avocado, no ground cover",,,,,,,,
108,"Citrus, no ground cover - 70% canopy",,,,,,,,
109,"Citrus, no ground cover - 50% canopy",,,,,,,,
110,"Citrus, no ground cover - 20% canopy",,,,,,,,
111,"Citrus, with active ground cover or weeds - 70% canopy",60,90,120,95,365,Jan,Mediterranean,
112,"Citrus, with active ground cover or weeds - 50% canopy",,,,,,,,
113,"Citrus, with active ground cover or weeds - 20% canopy",,,,,,,,
114,Conifer Trees,,,,,,,,
115,Kiwi,,,,,,,,
116,Olives (40 to 60% ground coverage by canopy),30,90,60,90,2705,March,Mediterranean,
117,"Pistachios, no ground cover",20,60,30,40,150,Feb,Mediterranean,
118,Walnut Orchard,20,10,130,30,190,April,"Utah, USA",
119,"Cattails, Bulrushes, killing frost",,,,,,,,
120,"Cattails, Bulrushes, no frost",,,,,,,,
121,"Short Veg., no frost",,,,,,,,
122,"Reed Swamp, standing water",,,,,,,,
123,"Reed Swamp, moist soil",,,,,,,,
